epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/IoU_crack(M),metrics/IoU_background(M),metrics/mIoU(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,700.146,0.59794,1.00081,0.58382,1.0416,0.84255,0.79019,0.8583,0.68053,0.84687,0.79155,0.85764,0.55696,0.49418,0.92327,0.70873,0.77731,0.80809,0.86616,1.03373,0.0014357,0.0014357,0.0014357
59,712.061,0.60639,1.01689,0.60726,1.0453,0.84218,0.79972,0.8727,0.6777,0.83788,0.79564,0.86037,0.54626,0.36878,0.87067,0.61973,0.81173,0.87018,0.87907,1.06041,0.0014258,0.0014258,0.0014258
60,724.148,0.62479,1.01889,0.61519,1.05031,0.83737,0.77866,0.8585,0.67116,0.85026,0.78908,0.84989,0.53318,0.26447,0.79491,0.52969,0.79852,0.85983,0.87991,1.0536,0.0014159,0.0014159,0.0014159
61,736.044,0.60619,1.00764,0.58648,1.04276,0.86043,0.78114,0.87139,0.69874,0.86817,0.78952,0.875,0.55977,0.56174,0.94146,0.7516,0.78512,0.79199,0.85723,1.04483,0.001406,0.001406,0.001406
62,747.889,0.59348,1.00319,0.58598,1.03662,0.88873,0.76975,0.88685,0.72014,0.85186,0.81475,0.88001,0.57795,0.30481,0.82501,0.56491,0.7472,0.80493,0.78955,1.01817,0.0013961,0.0013961,0.0013961
63,759.734,0.59404,0.99513,0.56648,1.0403,0.88043,0.76239,0.86473,0.68004,0.88365,0.76431,0.85382,0.54682,0.65535,0.96033,0.80784,0.81826,0.8808,0.85163,1.06945,0.0013862,0.0013862,0.0013862
64,771.652,0.59238,0.97488,0.58384,1.03643,0.86294,0.78061,0.87103,0.70237,0.85966,0.79282,0.8719,0.56475,0.67954,0.96444,0.82199,0.75068,0.80249,0.82133,1.03133,0.0013763,0.0013763,0.0013763
65,783.827,0.61044,1.00284,0.59073,1.04743,0.81331,0.79535,0.85922,0.65711,0.8446,0.7861,0.86306,0.53623,0.64464,0.95952,0.80208,0.86511,0.83143,0.95256,1.14504,0.0013664,0.0013664,0.0013664
66,795.633,0.59055,0.97978,0.57799,1.03756,0.83675,0.78747,0.85764,0.6791,0.85933,0.78474,0.86275,0.56389,0.38987,0.88153,0.6357,0.8322,0.79384,0.8689,1.07928,0.0013565,0.0013565,0.0013565
67,807.711,0.58915,1.00039,0.56912,1.0291,0.81053,0.79844,0.85238,0.68288,0.82888,0.81335,0.86115,0.55993,0.55301,0.93899,0.746,0.80234,0.79812,0.86329,1.0684,0.0013466,0.0013466,0.0013466
68,819.684,0.58916,0.99761,0.58182,1.03389,0.82334,0.81335,0.87108,0.68834,0.84586,0.79292,0.85966,0.5542,0.59442,0.95006,0.77224,0.82141,0.8451,0.84535,1.08878,0.0013367,0.0013367,0.0013367
69,831.686,0.59421,0.98937,0.58302,1.03471,0.87599,0.78883,0.88582,0.68774,0.8884,0.80245,0.88899,0.57696,0.71131,0.96974,0.84052,0.8301,0.78989,0.82191,1.08207,0.0013268,0.0013268,0.0013268
70,843.585,0.58451,0.98837,0.55721,1.03974,0.81162,0.78653,0.86279,0.68188,0.88664,0.74659,0.85294,0.55355,0.55574,0.94106,0.7484,0.80033,0.83449,0.85209,1.07004,0.0013169,0.0013169,0.0013169
71,855.481,0.58707,1.01127,0.55718,1.03333,0.85596,0.80518,0.88455,0.70989,0.83771,0.81744,0.87168,0.57095,0.58827,0.94739,0.76783,0.72526,0.78905,0.77118,1.00337,0.001307,0.001307,0.001307
72,867.356,0.58909,0.9745,0.56789,1.03674,0.87531,0.80337,0.88891,0.72697,0.88846,0.8079,0.89093,0.59287,0.6059,0.95094,0.77842,0.74154,0.7861,0.77342,1.02675,0.0012971,0.0012971,0.0012971
73,879.212,0.58124,0.99509,0.5755,1.02977,0.83919,0.80343,0.86687,0.69858,0.84885,0.80336,0.86939,0.56311,0.28627,0.80832,0.54729,0.77675,0.808,0.8428,1.04405,0.0012872,0.0012872,0.0012872
74,891.205,0.58976,1.02693,0.56313,1.04093,0.85194,0.76825,0.85989,0.65449,0.86718,0.77929,0.8622,0.54156,0.59041,0.94766,0.76903,0.83471,0.82478,0.88974,1.0774,0.0012773,0.0012773,0.0012773
75,903.177,0.57629,1.00321,0.56629,1.02877,0.89128,0.77248,0.89187,0.72882,0.90314,0.77487,0.88971,0.58357,0.69539,0.96721,0.8313,0.72526,0.77417,0.76468,0.99834,0.0012674,0.0012674,0.0012674
76,915.081,0.56844,0.99569,0.53404,1.02518,0.86355,0.79327,0.87791,0.71997,0.86893,0.80245,0.87324,0.57566,0.78378,0.97949,0.88164,0.74213,0.75596,0.77151,1.0285,0.0012575,0.0012575,0.0012575
77,926.951,0.57317,0.98607,0.54777,1.02688,0.86134,0.81242,0.88995,0.71174,0.88552,0.80518,0.87605,0.57126,0.49742,0.92545,0.71143,0.76842,0.80999,0.78495,1.03857,0.0012476,0.0012476,0.0012476
78,939.08,0.57442,0.98545,0.56099,1.02737,0.84173,0.83515,0.88379,0.71987,0.8801,0.80518,0.87713,0.56914,0.32095,0.83835,0.57965,0.7302,0.79175,0.77243,1.02444,0.0012377,0.0012377,0.0012377
79,950.898,0.56551,0.96766,0.53602,1.01915,0.8514,0.82741,0.88756,0.70321,0.87431,0.80654,0.88272,0.58452,0.61884,0.95324,0.78604,0.77688,0.793,0.78414,1.0289,0.0012278,0.0012278,0.0012278
80,962.749,0.56824,1.0007,0.53243,1.02537,0.84634,0.78747,0.86126,0.69397,0.85912,0.80109,0.86915,0.55815,0.57569,0.94515,0.76042,0.77737,0.79507,0.84084,1.05102,0.0012179,0.0012179,0.0012179
81,974.558,0.57091,0.96594,0.53726,1.02709,0.84704,0.81471,0.87244,0.71079,0.86407,0.82272,0.87822,0.579,0.29294,0.8162,0.55457,0.77471,0.78218,0.78679,1.05515,0.001208,0.001208,0.001208
82,986.612,0.55807,0.98508,0.54047,1.02104,0.88113,0.79292,0.87603,0.71047,0.88286,0.79065,0.86103,0.5563,0.38265,0.87702,0.62983,0.76006,0.82475,0.78741,1.028,0.0011981,0.0011981,0.0011981
83,998.537,0.56484,0.98292,0.54169,1.02032,0.84308,0.80519,0.87874,0.72133,0.86384,0.81199,0.88393,0.57749,0.28307,0.80971,0.54639,0.73886,0.79062,0.7724,1.01954,0.0011882,0.0011882,0.0011882
84,1010.5,0.55244,0.96314,0.53338,1.02102,0.84538,0.80451,0.87497,0.70938,0.84652,0.804,0.86898,0.57042,0.75456,0.9759,0.86523,0.73859,0.78989,0.80764,1.01532,0.0011783,0.0011783,0.0011783
